id,team,predictedteam,match,pass,value,closeEnough,,link
8682711,team__classes_group_spaces,team__classes_group_spaces,TRUE,TRUE,0.9925,,https://finalsite.zendesk.com/agent/tickets/8682711,https://finalsite.zendesk.com/agent/tickets/8682711
8682706,team__sso_authentication,team__sso_authentication,TRUE,TRUE,0.9955,,https://finalsite.zendesk.com/agent/tickets/8682706,https://finalsite.zendesk.com/agent/tickets/8682706
8682695,team__design,team__design,TRUE,TRUE,0.9967,,https://finalsite.zendesk.com/agent/tickets/8682695,https://finalsite.zendesk.com/agent/tickets/8682695
8682693,team__media,team__media,TRUE,TRUE,0.9913,,https://finalsite.zendesk.com/agent/tickets/8682693,https://finalsite.zendesk.com/agent/tickets/8682693
8682685,team__athletics,team__athletics,TRUE,TRUE,0.9976,,https://finalsite.zendesk.com/agent/tickets/8682685,https://finalsite.zendesk.com/agent/tickets/8682685
8682679,team__design,team__design,TRUE,TRUE,0.9996,,https://finalsite.zendesk.com/agent/tickets/8682679,https://finalsite.zendesk.com/agent/tickets/8682679
8682675,team__athletics,team__athletics,TRUE,TRUE,0.9942,,https://finalsite.zendesk.com/agent/tickets/8682675,https://finalsite.zendesk.com/agent/tickets/8682675
8682673,team__composer,team__composer,TRUE,TRUE,0.9981,,https://finalsite.zendesk.com/agent/tickets/8682673,https://finalsite.zendesk.com/agent/tickets/8682673
8682667,team__enotify,team__enotify,TRUE,TRUE,0.9986,,https://finalsite.zendesk.com/agent/tickets/8682667,https://finalsite.zendesk.com/agent/tickets/8682667
8682663,team__adminusers,team__adminusers,TRUE,TRUE,0.9989,,https://finalsite.zendesk.com/agent/tickets/8682663,https://finalsite.zendesk.com/agent/tickets/8682663
8682659,team__enotify,team__enotify,TRUE,TRUE,0.9855,,https://finalsite.zendesk.com/agent/tickets/8682659,https://finalsite.zendesk.com/agent/tickets/8682659
8682657,team__calendars,team__calendars,TRUE,TRUE,0.9948,,https://finalsite.zendesk.com/agent/tickets/8682657,https://finalsite.zendesk.com/agent/tickets/8682657
8682654,team__data_uploads,team__data_uploads,TRUE,TRUE,0.9998,,https://finalsite.zendesk.com/agent/tickets/8682654,https://finalsite.zendesk.com/agent/tickets/8682654
8682652,team__design,team__design,TRUE,TRUE,1,,https://finalsite.zendesk.com/agent/tickets/8682652,https://finalsite.zendesk.com/agent/tickets/8682652
8682647,team__payments,team__payments,TRUE,TRUE,0.9999,,https://finalsite.zendesk.com/agent/tickets/8682647,https://finalsite.zendesk.com/agent/tickets/8682647
8682642,team__google_analytics_tracking,team__google_analytics_tracking,TRUE,TRUE,0.9994,,https://finalsite.zendesk.com/agent/tickets/8682642,https://finalsite.zendesk.com/agent/tickets/8682642
8682643,team__apply,team__apply,TRUE,TRUE,0.9927,,https://finalsite.zendesk.com/agent/tickets/8682643,https://finalsite.zendesk.com/agent/tickets/8682643
8682640,team__athletics,team__athletics,TRUE,TRUE,0.9918,,https://finalsite.zendesk.com/agent/tickets/8682640,https://finalsite.zendesk.com/agent/tickets/8682640
8682641,team__support_infrastructure,team__support_infrastructure,TRUE,TRUE,0.9908,,https://finalsite.zendesk.com/agent/tickets/8682641,https://finalsite.zendesk.com/agent/tickets/8682641
8682633,team__adminusers,team__adminusers,TRUE,TRUE,0.9983,,https://finalsite.zendesk.com/agent/tickets/8682633,https://finalsite.zendesk.com/agent/tickets/8682633
8682629,team__data_uploads,team__data_uploads,TRUE,TRUE,0.9994,,https://finalsite.zendesk.com/agent/tickets/8682629,https://finalsite.zendesk.com/agent/tickets/8682629
8682627,team__design,team__design,TRUE,TRUE,0.9969,,https://finalsite.zendesk.com/agent/tickets/8682627,https://finalsite.zendesk.com/agent/tickets/8682627
8682628,team__composer,team__composer,TRUE,TRUE,0.9969,,https://finalsite.zendesk.com/agent/tickets/8682628,https://finalsite.zendesk.com/agent/tickets/8682628
8682625,team__enotify,team__enotify,TRUE,TRUE,0.9981,,https://finalsite.zendesk.com/agent/tickets/8682625,https://finalsite.zendesk.com/agent/tickets/8682625
8682624,team__enotify,team__enotify,TRUE,TRUE,0.9892,,https://finalsite.zendesk.com/agent/tickets/8682624,https://finalsite.zendesk.com/agent/tickets/8682624
8682623,team__classes_group_spaces,team__classes_group_spaces,TRUE,TRUE,0.9953,,https://finalsite.zendesk.com/agent/tickets/8682623,https://finalsite.zendesk.com/agent/tickets/8682623
8682622,team__adminusers,team__adminusers,TRUE,TRUE,0.9983,,https://finalsite.zendesk.com/agent/tickets/8682622,https://finalsite.zendesk.com/agent/tickets/8682622
8682618,team__forms,team__forms,TRUE,TRUE,0.9839,,https://finalsite.zendesk.com/agent/tickets/8682618,https://finalsite.zendesk.com/agent/tickets/8682618
8682620,team__forms,team__forms,TRUE,TRUE,0.9989,,https://finalsite.zendesk.com/agent/tickets/8682620,https://finalsite.zendesk.com/agent/tickets/8682620
8682619,team__page_manager,team__page_manager,TRUE,TRUE,0.9954,,https://finalsite.zendesk.com/agent/tickets/8682619,https://finalsite.zendesk.com/agent/tickets/8682619
8682616,team__calendars,team__calendars,TRUE,TRUE,0.9935,,https://finalsite.zendesk.com/agent/tickets/8682616,https://finalsite.zendesk.com/agent/tickets/8682616
